"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","47uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"C3,C4,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76","100nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","40",""
"C5,C6,C23,C24","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","4",""
"C7,C10,C22,C27,C28,C29,C31,C32,C34,C36,C37,C38","47uF 35V","~","Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm","12",""
"C8,C9,C11,C12,C13,C14,C15,C18,C19,C35","100pF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","10",""
"C16,C17","22uF 35V","~","Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm","2",""
"C20,C21","22uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"C25,C26,C30,C33","22pF 50V","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","4",""
"D1,D2","SB140","http://www.diodes.com/_files/datasheets/ds23022.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D3,D4,D5,D6,D27,D28,D29,D30,D33,D34,D43,D44","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","12",""
"D7,D8,D9,D10,D11,D12,D14,D15,D19,D20,D21,D22,D23,D24,D25,D26","LED_G","~","LED_THT:LED_Rectangular_W5.0mm_H2.0mm","16",""
"D13,D18","LED_Y","~","LED_THT:LED_Rectangular_W5.0mm_H2.0mm","2",""
"D16,D17","LED_R","~","LED_THT:LED_Rectangular_W5.0mm_H2.0mm","2",""
"D31,D32","LED_Dual_AKA","~","LED_THT:LED_Rectangular_W5.0mm_H2.0mm-3Pins","2",""
"J1,J2,J6,J7,J8,J9","TS_Jack_6.35mm_Sw","~","SynthStuff:CUI_MJ-63052A","6",""
"J3,J4,J5","AudioJack3","~","","3",""
"J100","IDC_02x05","~","SynthStuff:IDC-Header_2x05_P2.54mm_Vertical_Eurorack","1",""
"J200","IDC_02x08","~","SynthStuff:IDC-Header_2x08_P2.54mm_Vertical_BackBone","1",""
"Q1,Q2","BC558","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","Package_TO_SOT_THT:TO-92L_Inline_Wide","2",""
"R1,R2,R5,R8,R66,R71","22k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R3,R6,R86,R94","470R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R9","82k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R10","5k6","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R11","3k9","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R12","2k7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R13","2K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R14,R108","1k3","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R15,R30,R31,R32,R33,R43,R44,R45,R46,R47,R48,R49,R56,R57,R67,R72,R103,R104,R111","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","19",""
"R16","680R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R17","510R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R18","330R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R19","820R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R20,R24","22K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R21,R23","180R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R22,R25,R88,R90,R109,R110","3k3","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R26,R29","20k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R27,R28","14k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R34,R35,R40,R42,R96,R98,R112,R114","4k7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","8",""
"R36,R39,R68,R73,R93,R100,R101,R106,R107,R115","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","10",""
"R37,R38,R41,R113","75R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R50,R51,R52,R53,R54,R55,R58,R59","10R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","8",""
"R60,R63,R70,R74","100R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R61,R64","220k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R62,R65,R69,R75,R85,R91","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R76,R77,R78,R79","2k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R80,R81","68k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R84,R87,R92,R95","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R89,R97","20K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R99","56k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R102","8k2","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R105","39k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"RV1,RV2,RV3","B10k_Dual","~","Potentiometer_THT:Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical","3",""
"RV4,RV5","1k","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","2",""
"U1,U7,U21","TL072","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-8_W7.62mm_Socket","3",""
"U2,U3,U4,U5,U6,U24,U25","LM339","https://www.st.com/resource/en/datasheet/lm139.pdf","Package_DIP:DIP-14_W7.62mm_Socket","7",""
"U8,U11","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm_Socket","2",""
"U9,U10,U12,U13,U14,U15,U16,U17,U18,U19","NE5532","http://www.ti.com/lit/ds/symlink/ne5532.pdf","Package_DIP:DIP-8_W7.62mm_Socket","10",""
